date,hospital,city,drug,stock_units,usage_today,reorder_flag,delivery_delayed,supplier,supplier_country,geo_risk,expired,temperature_risk,unit_cost_inr
2026-03-26,Apollo Chennai,Chennai,Fluoxetine,418,70,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-03-27,Apollo Chennai,Chennai,Fluoxetine,350,68,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-03-28,Apollo Chennai,Chennai,Fluoxetine,292,58,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-03-29,Apollo Chennai,Chennai,Fluoxetine,240,52,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-03-30,Apollo Chennai,Chennai,Fluoxetine,24,216,True,True,MedSupply India,India,LOW,False,CRITICAL,1666
2026-03-31,Apollo Chennai,Chennai,Fluoxetine,138,53,True,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-01,Apollo Chennai,Chennai,Fluoxetine,510,69,True,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-02,Apollo Chennai,Chennai,Fluoxetine,457,53,False,False,MedSupply India,India,LOW,False,HIGH,1666
2026-04-03,Apollo Chennai,Chennai,Fluoxetine,387,70,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-04,Apollo Chennai,Chennai,Fluoxetine,319,68,False,False,MedSupply India,India,LOW,False,HIGH,1666
2026-04-05,Apollo Chennai,Chennai,Fluoxetine,246,73,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-06,Apollo Chennai,Chennai,Fluoxetine,183,63,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-07,Apollo Chennai,Chennai,Fluoxetine,115,68,True,True,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-08,Apollo Chennai,Chennai,Fluoxetine,511,59,True,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-09,Apollo Chennai,Chennai,Fluoxetine,437,74,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-10,Apollo Chennai,Chennai,Fluoxetine,383,54,False,False,MedSupply India,India,LOW,False,HIGH,1666
2026-04-11,Apollo Chennai,Chennai,Fluoxetine,318,65,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-12,Apollo Chennai,Chennai,Fluoxetine,243,75,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-13,Apollo Chennai,Chennai,Fluoxetine,181,62,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-14,Apollo Chennai,Chennai,Fluoxetine,454,73,True,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-15,Apollo Chennai,Chennai,Fluoxetine,387,67,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-16,Apollo Chennai,Chennai,Fluoxetine,318,69,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-17,Apollo Chennai,Chennai,Fluoxetine,264,54,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-18,Apollo Chennai,Chennai,Fluoxetine,194,70,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-19,Apollo Chennai,Chennai,Fluoxetine,335,68,True,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-20,Apollo Chennai,Chennai,Fluoxetine,262,73,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-21,Apollo Chennai,Chennai,Fluoxetine,187,75,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-22,Apollo Chennai,Chennai,Fluoxetine,539,67,True,False,MedSupply India,India,LOW,False,CRITICAL,1666
2026-04-23,Apollo Chennai,Chennai,Fluoxetine,477,62,False,False,MedSupply India,India,LOW,False,CRITICAL,1666
